Brand,Model,Transmission,Fuel type,Year of Manufacture,Median_Price
Micro,Geely,Manual,Petrol,2012,2370000.0
Micro,Geely,Manual,Petrol,2013,2750000.0
Micro,Geely,Manual,Petrol,2014,3484983.62
Micro,Panda,Manual,Petrol,2011,2175000.0
Micro,Panda,Manual,Petrol,2012,2477500.0
Micro,Panda,Manual,Petrol,2013,2707500.0
Micro,Panda,Manual,Petrol,2014,2847498.71
Micro,Panda,Manual,Petrol,2015,2894996.04
Micro,Panda,Manual,Petrol,2016,2899992.91
Micro,Panda,Manual,Petrol,2017,3189988.09
Micro,Panda Cross,Manual,Petrol,2012,3045000.0
Micro,Panda Cross,Manual,Petrol,2013,3150000.0
Micro,Panda Cross,Manual,Petrol,2014,3290000.0
Micro,Panda Cross,Manual,Petrol,2015,3290000.7
Micro,Panda Cross,Manual,Petrol,2016,3779987.68
Micro,Rexton,Automatic,Diesel,2008,7700000.0
Micro,Rexton,Automatic,Diesel,2009,7700110.01
Micro,Rexton,Automatic,Diesel,2010,7700110.01
Micro,Rexton,Automatic,Diesel,2011,7700110.01
Micro,Rexton,Automatic,Diesel,2012,13824947.32
Micro,Rexton,Automatic,Diesel,2013,13824947.32
Micro,Rexton,Automatic,Diesel,2014,13824947.32
Micro,Rexton,Automatic,Diesel,2015,13824947.32
Micro,Rexton,Automatic,Diesel,2016,13999942.67
Micro,Trend,Manual,Petrol,2009,1690000.0
Micro,Trend,Manual,Petrol,2010,1760000.0
Micro,Trend,Manual,Petrol,2011,1760001.38
Micro,Trend,Manual,Petrol,2012,1849998.99
Micro,Trend,Manual,Petrol,2013,1947496.4
Mitsubishi,Eclipse Cross,Automatic,Petrol,2018,16950000.0
Mitsubishi,Eclipse Cross,Automatic,Petrol,2019,17492500.0
Mitsubishi,Eclipse Cross,Automatic,Petrol,2020,18600000.0
Mitsubishi,Eclipse Cross,Automatic,Petrol,2021,18600006.6
Mitsubishi,Eclipse Cross,Automatic,Petrol,2022,19699977.38
Mitsubishi,Eclipse Cross,Automatic,Petrol,2023,19699977.38
Mitsubishi,Eclipse Cross,Automatic,Petrol,2024,21499929.57
Mitsubishi,Eclipse Cross,Tiptronic,Petrol,2018,15990000.0
Mitsubishi,Eclipse Cross,Tiptronic,Petrol,2019,18999995.48
Mitsubishi,Eclipse Cross,Tiptronic,Petrol,2020,18999995.48
Mitsubishi,Eclipse Cross,Tiptronic,Petrol,2021,18999995.48
Mitsubishi,Eclipse Cross,Tiptronic,Petrol,2022,21499929.08
Mitsubishi,Eclipse Cross,Tiptronic,Petrol,2023,21499929.08
Mitsubishi,Lancer,Automatic,Petrol,2010,11200000.0
Mitsubishi,Lancer,Automatic,Petrol,2011,16589923.1
Mitsubishi,Lancer,Automatic,Petrol,2012,7400000.0
Mitsubishi,Lancer,Automatic,Petrol,2013,7400167.2
Mitsubishi,Lancer,Automatic,Petrol,2014,19589843.42
Mitsubishi,Lancer,Manual,Petrol,2000,2950000.0
Mitsubishi,Lancer,Manual,Petrol,2001,5600000.0
Mitsubishi,Lancer,Manual,Petrol,2002,5602546.37
Mitsubishi,Lancer,Manual,Petrol,2003,12739271.77
Mitsubishi,Lancer,Manual,Petrol,2004,12739271.77
Mitsubishi,Lancer,Manual,Petrol,2005,8575000.0
Mitsubishi,Lancer,Manual,Petrol,2006,14490494.66
Mitsubishi,Lancer,Manual,Petrol,2007,6000000.0
Mitsubishi,Montero,Automatic,Diesel,2000,16496685.97
Mitsubishi,Montero,Automatic,Diesel,2001,16496685.97
Mitsubishi,Montero,Automatic,Diesel,2002,15898653.28
Mitsubishi,Montero,Automatic,Diesel,2003,14950000.0
Mitsubishi,Montero,Automatic,Diesel,2004,14957290.97
Mitsubishi,Montero,Automatic,Diesel,2005,14957290.97
Mitsubishi,Montero,Automatic,Diesel,2006,18694942.58
Mitsubishi,Montero,Automatic,Diesel,2007,18694942.58
Mitsubishi,Montero,Automatic,Diesel,2008,18694942.58
Mitsubishi,Montero,Automatic,Diesel,2009,18694942.58
Mitsubishi,Montero,Automatic,Diesel,2010,16399242.52
Mitsubishi,Montero,Automatic,Diesel,2011,16390000.0
Mitsubishi,Montero,Automatic,Diesel,2012,16850000.0
Mitsubishi,Montero,Automatic,Diesel,2013,25991428.84
Mitsubishi,Montero,Automatic,Diesel,2014,25000000.0
Mitsubishi,Montero,Automatic,Diesel,2015,29491951.34
Mitsubishi,Montero,Automatic,Diesel,2016,23500000.0
Mitsubishi,Montero,Automatic,Diesel,2017,29496269.28
Mitsubishi,Montero,Automatic,Petrol,2001,11900000.0
Mitsubishi,Montero,Automatic,Petrol,2002,14931197.15
Mitsubishi,Montero,Automatic,Petrol,2003,12887500.0
Mitsubishi,Montero,Automatic,Petrol,2004,13200000.0
Mitsubishi,Montero,Automatic,Petrol,2005,15155006.77
Mitsubishi,Montero,Automatic,Petrol,2006,13950000.0
Mitsubishi,Montero,Automatic,Petrol,2007,19248541.41
Mitsubishi,Montero,Automatic,Petrol,2008,19248541.41
Mitsubishi,Montero,Automatic,Petrol,2009,19248541.41
Mitsubishi,Montero,Automatic,Petrol,2010,19248541.41
Mitsubishi,Montero,Automatic,Petrol,2011,19248541.41
Mitsubishi,Montero,Automatic,Petrol,2012,35994596.51
Mitsubishi,Montero,Automatic,Petrol,2013,35994596.51
Mitsubishi,Montero,Automatic,Petrol,2014,35994596.51
Mitsubishi,Montero,Automatic,Petrol,2015,35994596.51
Mitsubishi,Montero,Automatic,Petrol,2016,35994596.51
Mitsubishi,Montero,Manual,Diesel,2001,11500000.0
Mitsubishi,Montero,Manual,Diesel,2002,11500221.79
Mitsubishi,Montero,Manual,Diesel,2003,11500221.79
Mitsubishi,Montero,Manual,Diesel,2004,11500221.79
Mitsubishi,Montero,Manual,Diesel,2005,11500221.79
Mitsubishi,Montero,Manual,Diesel,2006,11500221.79
Mitsubishi,Montero,Manual,Diesel,2007,11500221.79
Mitsubishi,Montero,Manual,Diesel,2008,23499903.05
Mitsubishi,Montero,Manual,Diesel,2009,23499903.05
Mitsubishi,Montero,Manual,Diesel,2010,23499903.05
Mitsubishi,Montero,Manual,Diesel,2011,23499903.05
Mitsubishi,Montero,Manual,Diesel,2012,23499903.05
Mitsubishi,Montero,Manual,Diesel,2013,23499903.05
Mitsubishi,Montero,Manual,Diesel,2014,23499903.05
Mitsubishi,Montero,Manual,Diesel,2015,24549875.16
Mitsubishi,Montero,Tiptronic,Diesel,2001,15500000.0
Mitsubishi,Montero,Tiptronic,Diesel,2002,15500188.92
Mitsubishi,Montero,Tiptronic,Diesel,2003,15500188.92
Mitsubishi,Montero,Tiptronic,Diesel,2004,15500188.92
Mitsubishi,Montero,Tiptronic,Diesel,2005,18500109.23
Mitsubishi,Montero,Tiptronic,Diesel,2006,18500109.23
Mitsubishi,Montero,Tiptronic,Diesel,2007,18500000.0
Mitsubishi,Montero,Tiptronic,Diesel,2008,18500109.23
Mitsubishi,Montero,Tiptronic,Diesel,2009,18500109.23
Mitsubishi,Montero,Tiptronic,Diesel,2010,15775181.61
Mitsubishi,Montero,Tiptronic,Diesel,2011,15775181.61
Mitsubishi,Montero,Tiptronic,Diesel,2012,15775000.0
Mitsubishi,Montero,Tiptronic,Diesel,2013,25799915.34
Mitsubishi,Montero,Tiptronic,Diesel,2014,27599867.53
Mitsubishi,Montero,Tiptronic,Diesel,2015,32499737.37
Mitsubishi,Outlander,Automatic,Hybrid,2013,13250000.0
Mitsubishi,Outlander,Automatic,Hybrid,2014,13475000.0
Mitsubishi,Outlander,Automatic,Hybrid,2015,15400000.0
Mitsubishi,Outlander,Automatic,Hybrid,2016,19850000.0
Mitsubishi,Outlander,Automatic,Hybrid,2017,19850026.16
Mitsubishi,Outlander,Automatic,Hybrid,2018,19850026.16
Mitsubishi,Outlander,Automatic,Hybrid,2019,19850026.16
Mitsubishi,Outlander,Automatic,Hybrid,2020,19850026.16
Mitsubishi,Outlander,Automatic,Hybrid,2021,42199432.52
Mitsubishi,Outlander,Automatic,Hybrid,2022,42199432.52
