Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/toyota-harrier-premium-2017-for-sale-colombo-36,Toyota Harrier Premium 2017,"Posted on 08 May 10:32 am, Dehiwala, Colombo",Toyota,Harrier,0,Premium,2017,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","47,000 km","Rs 26,000,000"
https://ikman.lk/en/ad/toyota-roomy-gt-custom-turbo-2023-for-sale-colombo-8,Toyota Roomy GT Custom Turbo 2023,"Posted on 08 May 10:30 am, Nugegoda, Colombo1714views",Toyota,Roomy,0,GT Custom  Turbo,2023,Reconditioned,Automatic,MPV,Petrol,"1,000 cc","16,000 km","Rs 12,000,000"
https://ikman.lk/en/ad/toyota-camry-luxury-2010-for-sale-colombo,Toyota Camry Luxury 2010,"Posted on 08 May 10:25 am, Nugegoda, Colombo3175views",Toyota,Camry,0,Toyota Camry Luxury,2010,Used,Automatic,Saloon,Petrol,"2,400 cc","88,420 km","Rs 9,995,000"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-150-2016-for-sale-colombo-4,Toyota Land Cruiser Prado 150 2016,"Posted on 08 May 10:15 am, Colombo 3, Colombo2696views",Toyota,Land Cruiser Prado,0,Prado 150,2016,Used,Automatic,Station wagon,Petrol,"2,690 cc","77,500 km","Rs 42,500,000"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-2017-for-sale-colombo-357,Toyota Land Cruiser Prado 2017,"Posted on 08 May 10:11 am, Mount Lavinia, Colombo1392views",Toyota,Land Cruiser Prado,0,0,2017,Used,Automatic,SUV / 4x4,Petrol,"2,690 cc","41,000 km","Rs 46,000,000"
https://ikman.lk/en/ad/toyota-chr-gr-sport-turbo-2023-for-sale-colombo,Toyota CHR GR sport turbo 2023,"Posted on 08 May 10:08 am, Kohuwala, Colombo",Toyota,CHR,0,GR sport turbo,2023,New,Automatic,Saloon,Petrol,"1,200 cc","1,250 km","Rs 20,800,000"
https://ikman.lk/en/ad/toyota-allion-2013-for-sale-colombo-615,Toyota Allion 2013,"Posted on 08 May 10:07 am, Malabe, Colombo",Toyota,Allion,0,2013,2013,Used,Automatic,Saloon,Petrol,"1,500 cc","91,000 km","Rs 11,000,000"
https://ikman.lk/en/ad/toyota-raize-hybrid-2025-for-sale-colombo,Toyota Raize Hybrid 2025,"Posted on 08 May 9:53 am, Rajagiriya, Colombo5897views",Toyota,Raize,0,Hybrid,2025,New,Automatic,SUV / 4x4,Petrol,"1,200 cc",0 km,"Rs 15,000,000"
https://ikman.lk/en/ad/toyota-axio-petrol-non-hybrid-2019-for-sale-colombo,Toyota Axio Petrol 2019,"Posted on 08 May 9:48 am, Nugegoda, Colombo7340views",Toyota,Axio,0,Petrol,2019,Used,Automatic,Saloon,Petrol,"1,300 cc","59,000 km","Rs 12,800,000"
https://ikman.lk/en/ad/toyota-vitz-2013-for-sale-gampaha-1,Toyota Vitz 2013,"Posted on 08 May 9:39 am, Gampaha City, Gampaha",Toyota,Vitz,0,0,2013,Used,Automatic,Hatchback,Petrol,990 cc,"140,000 km","Rs 6,900,000"
